image_path,hog_pca_0,hog_pca_1,hog_pca_2,hog_pca_3,hog_pca_4,hog_pca_5,hog_pca_6,hog_pca_7,hog_pca_8,hog_pca_9,hog_pca_10,hog_pca_11,hog_pca_12,hog_pca_13,hog_pca_14,hog_pca_15,hog_pca_16,hog_pca_17,hog_pca_18,hog_pca_19
img_000001.jpg,-0.76345766,0.9278797,0.26432866,-0.63867253,0.83145463,-0.52746904,-0.9593872,-0.53835505,1.2626148,-0.24551222,-0.4396426,-1.4858621,-0.8925837,-0.45537573,-0.97962034,0.45082456,-0.21379615,-0.88241637,-0.30965555,0.271686
img_000002.jpg,1.0492841,3.6082003,-1.8171899,0.9043799,-0.28219527,0.6232395,-0.51042974,-0.38862836,-0.457727,-0.0333025,-0.19034158,0.21074004,-0.01117964,0.13800007,0.10173683,-0.3356819,-0.8861822,0.5079693,0.006536222,0.47180662
img_000003.jpg,-1.5524397,-0.4323735,-0.31842226,0.6718771,-0.3818688,-0.22437416,0.56518227,0.26790732,0.14419322,-0.15090363,0.521769,0.32871813,-0.35704127,-0.19259098,0.37711626,0.5013864,-0.42144838,0.08128866,0.73025835,-0.2058951
img_000004.jpg,-1.5568715,0.21440583,0.97375804,0.61387604,-0.65734065,0.007031666,0.14089921,-0.15909483,-0.18767905,-0.14292893,0.9482565,-0.1154776,0.14632367,-0.296778,-0.5955997,0.28563753,-0.4815888,-0.10158019,-0.139084,0.5862758
img_000005.jpg,-0.94429415,-0.33483264,0.41521478,-0.6070142,-1.0048999,0.17275384,-0.69246715,-0.19340423,1.3851774,-0.23080862,1.0077791,-0.21908696,0.42050928,-0.053857565,0.601939,-0.5200633,0.062209334,0.24877098,0.14021419,0.292198
img_000006.jpg,-2.0915422,-0.2572468,-0.61001366,-2.3219066,1.3724017,0.92334086,-0.7323668,0.20101623,-0.14645341,0.22825135,-0.03956628,-0.050161954,0.65097976,-0.13232996,-0.2127652,0.12472838,-0.364337,-0.14796856,0.019411378,0.5399663
img_000007.jpg,2.3973372,-0.15015894,0.17955776,0.038169745,0.86839235,-0.6887384,0.456609,0.052258447,-0.20518313,-0.6802929,-0.2604623,0.12773855,0.48442695,-0.5530619,-0.5861037,0.33326867,-0.21590695,0.46376088,-0.17472653,0.49693158
img_000008.jpg,-0.84389,0.06865941,-0.8424321,0.33830434,-0.04864955,-0.20199043,0.77299345,-0.23485938,-0.04987183,-0.11081839,0.34709048,-0.8939745,0.41360646,0.299436,-0.15239845,0.23597692,0.91324097,-0.2324382,1.1493378,-0.47671556
img_000009.jpg,2.967218,-1.1550971,-0.60541713,-0.059793144,-0.46673658,0.5044478,0.1365543,-0.45110488,0.044056717,-0.5926288,0.7367134,0.012152723,0.08713015,0.8709938,0.003284766,-0.35481736,0.34449625,-0.3335047,0.15383981,0.23101556
img_000010.jpg,-1.638124,-0.05831787,0.06047679,-0.02560908,0.40230742,-0.3724456,0.36863545,0.48983565,-0.88790554,0.12402354,-0.012015414,-0.003312969,0.4990542,-0.3735575,-0.4862533,-0.32972002,-0.1251738,0.35277674,0.6353032,-0.1846485
img_000011.jpg,2.633907,-0.22121066,0.023257034,0.6565451,0.836883,-0.52772933,0.3390687,0.6367774,1.3928283,1.1334537,0.5362925,0.021280177,0.30640256,0.45969754,0.27172422,-0.47404614,0.32285708,0.009758904,-0.38015985,0.64507824
