id,image_path,ClassId
7218,img_000001.jpg,32
6333,img_000002.jpg,13
6867,img_000003.jpg,7
7730,img_000004.jpg,4
6338,img_000005.jpg,35
3105,img_000006.jpg,17
6532,img_000007.jpg,23
5225,img_000008.jpg,14
1429,img_000009.jpg,24
5669,img_000010.jpg,2
7747,img_000011.jpg,18
5238,img_000012.jpg,28
4526,img_000013.jpg,17
3815,img_000014.jpg,2
2466,img_000015.jpg,38
136,img_000016.jpg,25
204,img_000017.jpg,10
4331,img_000018.jpg,16
5305,img_000019.jpg,35
1098,img_000020.jpg,14
4235,img_000021.jpg,13
242,img_000022.jpg,33
1595,img_000023.jpg,38
3861,img_000024.jpg,7
5251,img_000025.jpg,38
3845,img_000026.jpg,10
3646,img_000027.jpg,17
4264,img_000028.jpg,12
1037,img_000029.jpg,10
4339,img_000030.jpg,13
5819,img_000031.jpg,11
5400,img_000032.jpg,10
7523,img_000033.jpg,31
6943,img_000034.jpg,26
3678,img_000035.jpg,1
2970,img_000036.jpg,14
6179,img_000037.jpg,7
2880,img_000038.jpg,21
4666,img_000039.jpg,12
1933,img_000040.jpg,35
3899,img_000041.jpg,13
5008,img_000042.jpg,29
1285,img_000043.jpg,31
4427,img_000044.jpg,9
1925,img_000045.jpg,1
1863,img_000046.jpg,24
6729,img_000047.jpg,34
177,img_000048.jpg,11
5359,img_000049.jpg,28
4224,img_000050.jpg,17
5147,img_000051.jpg,35
5363,img_000052.jpg,5
7282,img_000053.jpg,35
5052,img_000054.jpg,18
4213,img_000055.jpg,1
3481,img_000056.jpg,16
5864,img_000057.jpg,9
4332,img_000058.jpg,35
2609,img_000059.jpg,18
6891,img_000060.jpg,36
3343,img_000061.jpg,28
1986,img_000062.jpg,3
3291,img_000063.jpg,38
5564,img_000064.jpg,17
6521,img_000065.jpg,3
1824,img_000066.jpg,34
4804,img_000067.jpg,2
6148,img_000068.jpg,1
4373,img_000069.jpg,29
6336,img_000070.jpg,11
5421,img_000071.jpg,3
4577,img_000072.jpg,12
5651,img_000073.jpg,2
5928,img_000074.jpg,7
1360,img_000075.jpg,28
813,img_000076.jpg,18
311,img_000077.jpg,10
2231,img_000078.jpg,12
998,img_000079.jpg,8
2379,img_000080.jpg,38
5954,img_000081.jpg,0
1438,img_000082.jpg,29
7588,img_000083.jpg,40
2783,img_000084.jpg,10
39,img_000085.jpg,38
7831,img_000086.jpg,1
1649,img_000087.jpg,9
1456,img_000088.jpg,8
6995,img_000089.jpg,39
3513,img_000090.jpg,4
2500,img_000091.jpg,8
1847,img_000092.jpg,11
886,img_000093.jpg,33
6453,img_000094.jpg,18
7174,img_000095.jpg,22
5118,img_000096.jpg,27
4816,img_000097.jpg,15
7180,img_000098.jpg,12
1798,img_000099.jpg,3
2344,img_000100.jpg,13
4879,img_000101.jpg,2
4349,img_000102.jpg,13
2362,img_000103.jpg,38
5923,img_000104.jpg,19
4365,img_000105.jpg,12
6505,img_000106.jpg,33
3588,img_000107.jpg,25
6310,img_000108.jpg,17
70,img_000109.jpg,38
7070,img_000110.jpg,17
5729,img_000111.jpg,2
5342,img_000112.jpg,13
4265,img_000113.jpg,31
2270,img_000114.jpg,13
6007,img_000115.jpg,8
2944,img_000116.jpg,18
524,img_000117.jpg,8
5844,img_000118.jpg,10
5594,img_000119.jpg,0
5703,img_000120.jpg,2
3059,img_000121.jpg,1
3707,img_000122.jpg,7
5671,img_000123.jpg,25
2843,img_000124.jpg,25
532,img_000125.jpg,12
314,img_000126.jpg,13
6302,img_000127.jpg,10
2335,img_000128.jpg,38
397,img_000129.jpg,2
5211,img_000130.jpg,31
6356,img_000131.jpg,38
352,img_000132.jpg,7
7395,img_000133.jpg,4
4901,img_000134.jpg,17
6636,img_000135.jpg,15
5348,img_000136.jpg,8
5545,img_000137.jpg,4
2623,img_000138.jpg,1
5689,img_000139.jpg,1
7160,img_000140.jpg,9
3800,img_000141.jpg,39
116,img_000142.jpg,2
6207,img_000143.jpg,11
1334,img_000144.jpg,9
3251,img_000145.jpg,22
6030,img_000146.jpg,13
6678,img_000147.jpg,11
968,img_000148.jpg,9
705,img_000149.jpg,4
4433,img_000150.jpg,2
6924,img_000151.jpg,0
6385,img_000152.jpg,12
6735,img_000153.jpg,2
5125,img_000154.jpg,5
4837,img_000155.jpg,28
172,img_000156.jpg,13
3342,img_000157.jpg,38
100,img_000158.jpg,16
3024,img_000159.jpg,21
3753,img_000160.jpg,9
5297,img_000161.jpg,13
2553,img_000162.jpg,5
301,img_000163.jpg,7
7515,img_000164.jpg,5
1016,img_000165.jpg,6
742,img_000166.jpg,38
6222,img_000167.jpg,5
640,img_000168.jpg,42
1069,img_000169.jpg,11
6769,img_000170.jpg,18
619,img_000171.jpg,35
6575,img_000172.jpg,35
3722,img_000173.jpg,17
2226,img_000174.jpg,4
3082,img_000175.jpg,15
6093,img_000176.jpg,13
151,img_000177.jpg,35
4503,img_000178.jpg,2
5270,img_000179.jpg,12
691,img_000180.jpg,17
5402,img_000181.jpg,13
4345,img_000182.jpg,1
7040,img_000183.jpg,13
3568,img_000184.jpg,3
3371,img_000185.jpg,3
6167,img_000186.jpg,32
2705,img_000187.jpg,21
6086,img_000188.jpg,9
225,img_000189.jpg,8
6471,img_000190.jpg,41
1791,img_000191.jpg,4
2392,img_000192.jpg,18
2736,img_000193.jpg,9
3017,img_000194.jpg,4
7383,img_000195.jpg,1
2085,img_000196.jpg,26
3416,img_000197.jpg,20
1269,img_000198.jpg,10
833,img_000199.jpg,2
3512,img_000200.jpg,35
5946,img_000201.jpg,18
2331,img_000202.jpg,25
2154,img_000203.jpg,1
6610,img_000204.jpg,5
35,img_000205.jpg,26
1897,img_000206.jpg,33
7511,img_000207.jpg,25
4867,img_000208.jpg,25
3493,img_000209.jpg,14
6713,img_000210.jpg,10
7599,img_000211.jpg,16
7068,img_000212.jpg,3
5002,img_000213.jpg,25
2917,img_000214.jpg,11
5487,img_000215.jpg,36
7438,img_000216.jpg,39
1915,img_000217.jpg,1
1165,img_000218.jpg,3
3455,img_000219.jpg,10
7384,img_000220.jpg,33
1449,img_000221.jpg,5
4465,img_000222.jpg,15
2414,img_000223.jpg,40
3985,img_000224.jpg,10
1413,img_000225.jpg,17
5539,img_000226.jpg,4
1679,img_000227.jpg,4
4930,img_000228.jpg,7
527,img_000229.jpg,10
1039,img_000230.jpg,11
316,img_000231.jpg,34
6762,img_000232.jpg,13
69,img_000233.jpg,35
267,img_000234.jpg,21
2227,img_000235.jpg,4
4639,img_000236.jpg,35
3286,img_000237.jpg,23
4044,img_000238.jpg,1
7465,img_000239.jpg,5
3698,img_000240.jpg,38
5332,img_000241.jpg,20
194,img_000242.jpg,5
7561,img_000243.jpg,11
2505,img_000244.jpg,4
1552,img_000245.jpg,7
1696,img_000246.jpg,32
2540,img_000247.jpg,2
4593,img_000248.jpg,12
6061,img_000249.jpg,1
4913,img_000250.jpg,7
373,img_000251.jpg,10
1909,img_000252.jpg,9
7792,img_000253.jpg,10
3160,img_000254.jpg,18
3596,img_000255.jpg,5
4492,img_000256.jpg,3
4587,img_000257.jpg,13
321,img_000258.jpg,3
3446,img_000259.jpg,25
6732,img_000260.jpg,25
5241,img_000261.jpg,1
2009,img_000262.jpg,1
707,img_000263.jpg,34
7630,img_000264.jpg,4
4965,img_000265.jpg,13
1177,img_000266.jpg,26
131,img_000267.jpg,21
2857,img_000268.jpg,13
4053,img_000269.jpg,13
3943,img_000270.jpg,8
3122,img_000271.jpg,10
2300,img_000272.jpg,27
6186,img_000273.jpg,5
1959,img_000274.jpg,40
2713,img_000275.jpg,5
3412,img_000276.jpg,2
5502,img_000277.jpg,1
